,Comment,Classes,ner_text,ner_comments
3616,showed flexibility adaptability learning new thing phplanguage yet worked ,Very Poor,,
3617,slow progress frontend development eagerness learn ,Very Poor,,
3618,commended quick tat setting new computer complying installation procedure ,Very Poor,,
3619,alex hard working ,Very Poor,alex hard,alex hard
3620,assignment completed required maria isquick learner need pay attention detail ,Very Poor,maria isquick learner,maria isquick learner
3621,good creativity ,Good,,
3622,great work ,Very Poor,,
3623,angella hosted soroticityfc com website remote server using cpanel ,Very Poor,,
3624,updated adita dashboard started working documentation adita reworked mantled hope website ,Very Poor,,
3625,amazing intern ,Very Poor,,
3626,focus database development progressed ,Very Poor,,
3627,progressed multimedia week ,Very Poor,multimedia week,multimedia week
3628,progressive although wasnfamiliar adobe suite able catch ,Very Poor,,
3629,passionate ict ,Very Poor,,
3630,good ,Good,,
3631,implemented module registering tenant also working wallet payment rentappug worked password reset forgot password employed dashboard crud sourcing fund adita app ,Very Poor,,
3632,jolly flexible overtime demonstratedkeen interest learn get acquainted aspect beyond risk management ,Very Poor,,
3633,progress good decided improve application layout specifically dashboard content moving next task ,Very Poor,,
3634,good progress made department web application ,Good,,
3635,hard working ,Very Poor,,
3636,well ,Very Poor,,
3637,mesarch amazing intern ,Very Poor,,
3638,mesarch isgreat intern destined stardom ,Very Poor,,
3639,proud stay phenomenal ,Very Poor,,
3640,good ,Good,,
3641,worked flutter framework testing apis using tool postman ,Very Poor,,
3642,task completed time ,Excellent,,
3643,good timer ,Good,,
3644,analysed data chance university admission using python use regression prediction module started writing documentation analysis ,Very Poor,,
3645,learning concept java steady improvement ,Very Poor,,
3646,always bit deadline ,Very Poor,,
3647,training session great learner good basic knowledge database ,Good,,
3648,good database management skill ,Good,,
3649,m nakityo finished making design landing page quiz app figma ,Very Poor,,
3650,challenged fixed program time since test ,Very Poor,,
3651,employed dashboard crud sourcing fund adita app worked module displaycampaigner organization associated campaign worked module viewing single campaign ,Very Poor,,
3652,good knowledge passion field ,Good,,
3653,need master art summarizing report comment good ,Very Poor,,
3654,showedlot effort learn new tool bizagi draw analyze process diagram using business process model notation bpmn new however work commendable data entry asset inventory system aim commendable ,Very Poor,,
3655,olivia steadily making progress assignment especially postgress database supporting staff use acmis ,Very Poor,olivia,olivia
3656,analyzed data university data forchance admit using regression prediction python andprogramme ,Very Poor,,
3657,teamwork cooperation progressing well project add effort time efficiency effectiveness ,Very Poor,,
3658,need dedicate time work otherwise balancing isproblem ,Very Poor,,
